label,id,Alpha,Beta,Gamma,Delta,Epsilon,Zeta,Eta,Theta,Iota,Kappa,Lambda,omikron
0,2718318,2092,1214,3,118000,2,8,5,110,4,71000,223.6067977,0.02727272727
0,1489659235,2092,1268,1,118000,2,8,-1,95,3,330006,1,0.01052631579
0,1490534424,2092,1271,3,118000,1,8,5,80,5,60017,282.8427125,0.0375
0,1484391777,2615,1338.5,3,30000,2,15,5,110,4,71000,223.6067977,0.02727272727
0,1485372701,2615,1262,3,93000,2,15,9,86,5,151300,204.9390153,0.03488372093
0,1486416695,3661,1170.5,3,71000,2,11,5,111,4,151307,200,0.02702702703
0,3344566,2092,1271,3,99000,2,8,5,114,4,151300,232.8647676,0.02631578947
0,3613912,2092,1296.5,1,127000,2,8,5,107,3,60019,1,0.009345794393
0,2044953,3661,1313,1,113000,2,11,5,107,5,60002,1,0.009345794393
0,1491900817,2092,1386.5,1,87000,2,8,5,105,4,60008,228.5432125,0.009523809524
0,533870,2615,1212.5,3,125000,2,15,10,113,4,550005,187.0828693,0.02654867257
0,1484168064,2615,1307,3,91000,2,15,5,110,5,60023,200,0.02727272727
0,207761,2615,1287.5,3,163000,2,15,5,90,5,72014,200,0.03333333333
1,1487998639,3661,,2,120000,2,11,5,101,5,72000,265.3394053,0.0198019802
1,1114856,3661,,2,97000,2,11,5,76,5,72000,179.0809873,0.02631578947
0,1487069284,3661,1227.5,3,250000,2,11,9,100,5,60054,187.0828693,0.03
1,1486496460,3661,1299.5,3,64000,2,11,5,110,4,510090,178.2414093,0.02727272727
0,1491887461,2092,,2,81000,1,8,9,100,5,72000,200.4120755,0.02
0,2361416,3661,1292,1,130000,2,11,5,108,3,60040,1,0.009259259259
1,1488014221,3661,1241,3,78000,1,11,5,105,5,60074,1,0.02857142857
0,2789179,2092,1380.5,3,270000,2,8,5,64,5,60023,1,0.046875
1,3540454,2092,1328,1,150000,2,8,5,107,3,332414,1,0.009345794393
0,1488400803,3661,1352,1,142000,2,11,9,111,4,60036,1,0.009009009009
0,1486228598,2615,,2,35000,2,15,5,114,4,60069,1,0.01754385965
0,1488245354,3661,1397,1,131000,2,11,5,95,5,60001,1,0.01052631579
0,1490533311,2092,1229,3,62000,2,8,5,84,5,60019,1,0.03571428571
1,1376782,3661,1281.5,1,173000,2,11,-1,106,5,72000,1,0.009433962264
0,1490044704,2092,1293.5,1,458000,2,8,-1,75,5,340017,200,0.01333333333
0,1492261429,2092,1287.5,3,110000,2,8,9,80,5,151300,1,0.0375
0,1485705488,2615,1308.5,3,131000,1,15,5,110,5,72000,1,0.02727272727
0,1487894017,3661,1380.5,3,271000,2,11,9,81,5,60027,300.1299718,0.03703703704
0,1488686844,3661,1298,1,128000,2,11,5,92,5,151300,173.2050808,0.01086956522
0,1491405532,2092,1317.5,3,293000,2,8,5,100,5,60018,1,0.03
0,1489373565,3661,1235,3,56000,2,11,-1,114,4,151300,206.8888591,0.02631578947
0,1492555261,2092,1226,3,73000,1,8,5,104,5,60058,158.113883,0.02884615385
0,1486156624,2615,1361,1,101000,2,15,9,115,3,60052,187.0828693,0.008695652174
0,1485873180,2615,1241,3,62000,2,15,9,95,4,60023,1,0.03157894737
0,1492714049,2092,1308.5,1,123000,2,8,5,84,3,151300,173.2050808,0.0119047619
0,1371217,3661,1268,1,379000,2,11,-1,108,5,151304,389.0372733,0.009259259259
0,1488755850,3661,1263.5,3,35000,2,12,-1,115,4,350012,271.1162112,0.02608695652
0,1487602411,3661,1137.5,3,88000,2,11,-1,107,4,450081,158.113883,0.02803738318
0,1488984015,3661,1289,3,68000,1,11,5,86,3,60016,173.2050808,0.03488372093
1,1485805658,2615,1259,3,94000,2,15,9,105,3,350063,200,0.02857142857
0,1492714791,2092,1230.5,1,71000,2,8,5,100,5,72001,1,0.01
0,412924,2615,1274,3,127000,2,15,9,113,4,72001,212.1320344,0.02654867257
1,1491464150,3661,1245.5,3,65000,1,11,5,109,5,151300,173.2050808,0.02752293578
0,1486944257,3661,1335.5,3,185000,2,11,5,100,5,351106,212.1320344,0.03
0,1490015024,2092,1281.5,3,304000,2,8,5,84,3,60024,1,0.03571428571
0,1490876115,2092,1227.5,3,50000,2,8,5,100,3,60027,173.2050808,0.03
0,1485913990,2615,1302.5,3,211000,2,15,5,87,3,72000,1,0.03448275862
0,2991745,2092,1239.5,3,65000,2,8,5,92,5,151300,200,0.03260869565
0,1486848168,3661,1326.5,3,96000,2,11,5,113,4,591001,1,0.02654867257
0,1176071,3661,1223,3,97000,2,11,5,109,3,450003,187.0828693,0.02752293578
0,2144010,3661,1314.5,1,127000,2,11,9,110,3,60008,1,0.009090909091
0,1491792856,2092,,2,57000,2,8,-1,100,3,72000,194.1829035,0.02
0,2114330,3661,1350.5,1,110000,2,11,-1,108,5,71000,1,0.009259259259
0,1326697,3661,,2,73000,2,11,9,114,4,361000,153.3916556,0.01754385965
0,1488441242,3661,1266.5,3,130000,2,11,9,100,5,60005,173.2050808,0.03
1,1488952851,3661,,3,75000,2,11,9,100,5,450018,353.5533906,0.03
0,1486733158,3661,1280,3,156000,1,11,5,96,5,72000,187.0828693,0.03125
0,1484338724,2615,1209.5,3,35000,2,15,5,78,5,71000,227.015418,0.03846153846
0,1486411501,3661,1290.5,3,116000,1,11,5,109,4,60062,196.4942747,0.02752293578
1,1486553594,3661,1268,3,90000,2,11,5,86,5,71002,1,0.03488372093
0,1487489627,3661,1251.5,3,103000,2,11,9,108,4,60095,234.520788,0.02777777778
0,1486515010,3661,1319,3,88000,2,11,5,114,4,151300,228.4513077,0.02631578947
1,1487500757,3661,1304,3,63000,2,11,5,110,4,60095,223.6067977,0.02727272727
1,903757,2615,1256,3,78000,2,15,-1,111,3,60030,1,0.02702702703
1,1492728889,2092,,2,94000,2,8,-1,113,4,72000,1,0.01769911504
0,1386057,3661,1241,3,63000,2,11,5,107,5,72000,1,0.02803738318
1,1488480197,3661,1295,3,73000,2,11,5,100,5,350076,223.6067977,0.03
0,1484299398,2615,1364,3,134000,2,15,5,83,5,72000,316.227766,0.03614457831
0,1485722925,2615,1316,3,141000,2,15,5,99,4,550004,223.6067977,0.0303030303
0,1492500724,2092,1266.5,1,99000,2,8,5,86,3,72002,1,0.01162790698
0,1484017809,3661,1322,3,133000,2,11,9,99,3,350609,209.8570942,0.0303030303
0,1399413,3661,1266.5,1,111000,2,11,-1,79,5,60026,1,0.01265822785
0,138755,2615,1305.5,3,157000,2,15,9,111,5,71000,249.7999199,0.02702702703
0,1490632739,2092,1425.5,3,146000,2,8,5,113,5,60062,1,0.02654867257
1,1487029587,3661,1256,1,102000,2,11,-1,110,4,450080,178.8854382,0.009090909091
0,1487143484,3661,,2,118000,2,11,9,107,5,72000,187.0828693,0.01869158879
0,1488016818,3661,1286,1,110000,2,11,5,112,5,60033,1,0.008928571429
1,1485280693,2615,1241,3,46000,2,15,5,80,5,350092,175.1570724,0.0375
1,448169,2615,,2,47000,2,15,5,112,4,510037,175.8266191,0.01785714286
0,1486670088,3661,1283,3,67000,2,11,5,114,4,60026,200,0.02631578947
1,1491146945,2092,1304,3,35000,2,8,5,110,4,72000,200,0.02727272727
1,1488000865,3661,1205,3,63000,2,11,5,106,3,151300,1,0.02830188679
0,1490990383,2092,1311.5,3,147000,2,8,5,98,4,72000,187.0828693,0.0306122449
0,1489935259,2092,1328,3,488000,2,8,9,114,4,60057,632.455532,0.02631578947
1,1490869066,2092,1253,3,59000,2,8,-1,110,4,151300,1,0.02727272727
0,2937208,2092,1308.5,3,144000,2,8,5,107,5,60016,1,0.02803738318
0,1490094789,2092,1382,3,76000,2,8,5,100,5,60018,173.2050808,0.03
0,1488869376,3661,1301,1,77000,2,11,5,95,3,450000,173.2050808,0.01052631579
0,1487444736,3661,1259,3,86000,2,11,5,88,5,72000,223.6067977,0.03409090909
0,1486201515,2615,1307,1,39000,2,15,9,114,4,450016,160.4462527,0.008771929825
0,3241428,2092,1379,3,489000,2,8,9,99,5,72001,223.6067977,0.0303030303
0,1157521,3661,1317.5,3,150000,2,11,5,112,5,450042,345.7947368,0.02678571429
0,1486911238,3661,1268,3,101000,2,11,4,108,5,450032,200,0.02777777778
0,1491858523,2092,,2,139000,2,8,5,111,3,60036,1,0.01801801802
0,1491731270,2092,1329.5,1,181000,2,8,5,111,3,340017,223.6067977,0.009009009009
1,1486887494,3661,1250,3,94000,2,11,5,113,4,71000,187.0828693,0.02654867257
0,1491599194,3661,1263.5,3,120000,2,11,9,86,5,151300,1,0.03488372093
0,1492021763,2092,1364,1,200000,2,8,5,90,3,60022,212.1320344,0.01111111111
0,1659484,3661,1370,1,142000,2,11,9,113,4,72014,1,0.008849557522
1,1487437316,3661,1257.5,1,98000,2,11,-1,101,3,60075,1,0.009900990099
0,1489211809,3661,1314.5,1,483000,2,11,9,101,3,151300,282.8427125,0.009900990099
0,1491946821,2092,1320.5,3,164000,1,8,5,105,5,151300,187.0828693,0.02857142857
0,1486894172,3661,1262,3,100000,2,11,5,113,4,450071,210.9573417,0.02654867257
0,1491028225,2092,1233.5,1,190000,1,8,-1,85,3,60064,1,0.01176470588
0,2031597,3661,1320.5,1,102000,2,11,5,110,3,151300,200,0.009090909091
0,2174432,3661,1256,1,126000,2,11,9,102,3,350705,158.113883,0.009803921569
0,1491448197,2092,,2,104000,2,8,5,108,5,151306,185.6744463,0.01851851852
0,1487308579,3661,1314.5,1,150000,1,11,-1,115,5,72000,1,0.008695652174
0,1485192766,2615,1364,3,142000,2,15,5,100,5,60044,1,0.03
1,1491302765,2092,1292,1,115000,2,8,5,114,5,350060,192.3538406,0.008771929825
0,787634,2615,1259,3,80000,2,15,5,112,3,350000,223.6067977,0.02678571429
0,1487189859,3661,1379,3,144000,2,11,5,113,4,151008,200,0.02654867257
0,1974463,3661,1257.5,3,126000,2,11,5,105,3,151300,1,0.02857142857
0,1492514451,2092,1310,1,167000,2,8,9,105,3,151300,320.1202899,0.009523809524
0,1648725,3661,1254.5,3,81000,2,11,5,110,5,60057,200,0.02727272727
0,1473613,3661,1247,3,110000,2,11,5,91,4,60007,1,0.03296703297
0,1872809,3661,1325,1,50000,2,12,-1,105,5,350012,225.2287726,0.009523809524
0,1492389424,2092,,2,39000,2,8,5,113,4,72015,172.4731863,0.01769911504
0,1487445478,3661,1310,1,140000,2,11,5,90,5,60002,200,0.01111111111
0,1486102829,2615,1277,1,101000,2,15,5,111,4,60091,1,0.009009009009
0,1492844641,3661,1268,3,162000,2,11,5,113,4,450081,141.4213562,0.02654867257
0,1487486659,3661,1308.5,3,123000,2,11,5,100,4,60014,200,0.03
1,3068171,2092,,2,44000,2,8,5,89,3,72000,171.0146193,0.02247191011
1,1488365929,3661,1241,3,65000,2,11,9,110,3,151011,1,0.02727272727
0,1484767229,2615,1290.5,3,86000,2,15,5,93,5,60033,1,0.03225806452
0,1489514174,3661,1340,1,296000,2,11,5,110,5,72000,1,0.009090909091
1,3239944,2092,1289,1,143000,2,8,5,70,5,60091,1,0.01428571429
0,1489104590,3661,1248.5,3,76000,2,11,5,95,3,72000,200,0.03157894737
0,1487105642,3661,1278.5,3,71000,2,11,1,111,3,60019,316.227766,0.02702702703
0,1490171586,2092,1239.5,3,103000,2,8,5,103,5,60036,244.9489743,0.02912621359
1,1487171680,3661,1215.5,3,58000,2,11,5,96,5,60033,158.113883,0.03125
0,1487328242,3661,1245.5,3,58000,2,11,5,101,5,60058,200,0.0297029703
0,1220591,3661,,3,203000,2,11,-1,107,4,450012,158.113883,0.02803738318
1,1487435832,3661,1230.5,3,64000,2,11,3,82,5,60058,200,0.03658536585
0,1492308546,2092,,2,105000,2,8,5,109,3,60014,187.0828693,0.01834862385
0,1490762218,2092,1244,3,116000,2,8,5,111,4,60002,1,0.02702702703
0,2172577,3661,1305.5,3,93000,1,11,3,104,3,60032,200,0.02884615385
1,136529,2615,,2,90000,2,15,5,92,5,72014,1,0.02173913043
0,3483320,2092,1245.5,3,50000,2,8,5,88,3,340017,300,0.03409090909
1,1010234,3661,1365.5,3,143000,2,11,5,83,3,60011,202.4845673,0.03614457831
0,1487275560,3661,1244,3,84000,2,11,5,108,4,72000,1,0.02777777778
0,1492718130,2092,1338.5,1,112000,2,8,5,90,3,330008,1,0.01111111111
0,1487070026,3661,1335.5,3,150000,2,11,9,105,5,350050,412.3105626,0.02857142857
0,1488199350,3661,1415,3,155000,2,11,5,107,3,60005,212.1320344,0.02803738318
0,1486483846,3661,1298,3,182000,2,11,5,100,5,60001,244.9489743,0.03
0,1490736248,2092,1338.5,1,107000,2,8,9,82,5,151300,1,0.01219512195
0,1490624577,2092,1317.5,1,183000,2,8,5,90,5,60019,273.8612788,0.01111111111
1,186614,2615,1361,3,30000,1,15,5,110,5,60033,264.5751311,0.02727272727
0,863318,2615,1170.5,3,100000,2,15,5,86,5,350092,200,0.03488372093
0,1488233482,3661,1277,3,98000,2,11,5,92,5,60036,1,0.03260869565
0,1489281928,3661,1287.5,1,152000,2,11,5,108,5,151300,1,0.009259259259
0,1484658526,2615,1404.5,1,150000,2,15,9,100,5,71002,316.227766,0.01
0,1484340950,2615,1296.5,3,148000,2,15,5,100,4,60023,187.0828693,0.03
0,1486932756,3661,,2,69000,1,11,5,106,4,60064,173.2050808,0.01886792453
0,1485055496,2615,1307,3,166000,2,15,5,88,5,60065,235.0829641,0.03409090909
0,1491494201,2092,1298,3,101000,2,8,9,105,3,60052,212.1320344,0.02857142857
0,1071449,3661,1275.5,3,90000,2,11,5,110,4,450015,212.1320344,0.02727272727
0,463009,2615,1241,3,35000,2,15,5,104,5,151300,243.3536521,0.02884615385
0,1489714885,2092,,2,71000,2,8,9,90,5,72015,167.4962686,0.02222222222
0,3317112,2092,1256,3,101000,2,8,9,110,5,60084,1,0.02727272727
0,2190756,3661,1320.5,1,119000,2,11,5,96,3,60043,212.1320344,0.01041666667
0,1484118350,2615,1239.5,3,58000,2,15,5,107,5,60017,1,0.02803738318
1,1238399,3661,1241,3,71000,2,11,-1,80,5,450071,187.0828693,0.0375
0,1490153036,2092,1397,3,191000,2,8,9,114,4,72000,300.4080558,0.02631578947
0,1492654318,2092,1274,1,93000,1,8,5,100,3,60019,173.2050808,0.01
0,2848539,2092,1275.5,3,90000,1,8,5,103,5,72049,173.2050808,0.02912621359
0,1492504063,2092,1298,1,165000,2,8,9,90,3,72000,234.4504212,0.01111111111
0,1492059976,3661,1257.5,1,84000,1,11,5,106,5,71000,173.2050808,0.009433962264
0,1490049156,2092,1311.5,1,169000,2,8,-1,112,5,72000,1,0.008928571429
0,1486449714,3661,1148,3,106000,2,11,5,94,5,450071,212.1320344,0.03191489362
0,1492276640,2092,1242.5,3,158000,2,8,5,113,4,72000,200,0.02654867257
0,1485339682,2615,1212.5,3,67000,2,15,9,110,5,60083,1,0.02727272727
0,2251600,3661,1289,1,144000,2,11,5,100,3,71000,200,0.01
0,1488595578,3661,,2,77000,2,11,9,114,5,510000,159.6997182,0.01754385965
0,1492248815,2092,1265,1,120000,2,8,5,105,3,71000,1,0.009523809524
0,1484553533,2615,,2,62000,1,15,5,111,4,151300,186.8742893,0.01801801802
0,1489292687,3661,1322,1,115000,2,11,5,84,3,60052,1,0.0119047619
1,1484545000,2615,1308.5,3,30000,2,15,5,99,5,60062,1,0.0303030303
0,1489311979,3661,1283,3,90000,2,11,5,85,5,60000,1,0.03529411765
0,1491660038,2092,1293.5,1,149000,2,8,-1,96,3,60023,1,0.01041666667
0,1484967198,2615,1469,3,110000,2,15,5,82,5,350066,223.6067977,0.03658536585
0,1486521688,3661,1328,3,182000,2,11,5,98,5,72001,173.2050808,0.0306122449
0,1841274,3661,1257.5,3,107000,2,11,5,113,4,450071,200,0.02654867257
0,3435832,2092,1266.5,3,101000,2,8,9,101,4,60084,1,0.0297029703
0,1491174770,2092,1257.5,1,110000,2,8,5,89,3,350063,189.7366596,0.01123595506
0,2573999,2092,1322,3,146000,2,8,9,100,5,72000,1,0.03
0,1491854442,2092,1322,1,87000,2,8,5,90,4,151300,1,0.01111111111
0,1488585190,3661,1287.5,1,135000,2,11,5,109,4,72000,1,0.009174311927
0,1484735694,2615,1245.5,3,100000,2,15,2,90,5,60028,204.9390153,0.03333333333
0,1489508238,3661,1376,1,150000,2,11,-1,110,4,60000,219.2487172,0.009090909091
0,1485783769,2615,,2,48000,2,15,5,107,4,450008,178.0056179,0.01869158879
0,1485239141,2615,,3,227000,2,15,-1,110,4,450080,183.0300522,0.02727272727
0,1487232524,3661,1220,3,77000,2,11,5,94,5,72001,1,0.03191489362
0,1492018053,2092,,2,76000,2,8,9,113,4,60091,158.4077018,0.01769911504
0,1484678560,2615,1286,3,92000,1,15,5,81,3,60018,200,0.03703703704
0,1488318070,3661,1266.5,3,89000,2,11,5,89,3,60091,1,0.03370786517
1,1486685670,3661,1305.5,1,87000,2,11,-1,114,4,72000,186.4564292,0.008771929825
0,1485621271,3661,1322,3,195000,1,11,5,104,5,71000,173.2050808,0.02884615385
0,1047705,3661,1262,3,121000,2,11,5,106,5,151300,387.356425,0.02830188679
0,1487352357,3661,1365.5,3,84000,2,11,5,100,3,60023,1,0.03
0,1489859575,2092,1296.5,3,94000,2,8,9,114,4,60058,1,0.02631578947
1,1485315938,2615,,2,43000,2,15,9,111,5,361027,167.7885574,0.01801801802
0,1487475900,3661,1308.5,3,143000,2,11,5,100,3,151009,173.2050808,0.03
0,1803803,3661,1296.5,3,136000,2,11,5,115,4,71002,220.2271555,0.02608695652
0,1488961755,3661,1214,3,58000,2,11,5,112,4,71006,1,0.02678571429
0,1490571524,2092,,2,259000,1,8,5,110,4,72000,200,0.01818181818
0,1489802812,2092,1349,3,139000,2,8,5,109,5,151304,212.1320344,0.02752293578
0,1490021331,2092,1310,3,129000,1,8,5,100,5,151300,181.6590212,0.03
0,2141413,3661,1305.5,1,136000,2,11,-1,105,4,60061,1,0.009523809524
0,825105,2615,1311.5,1,91000,1,15,7,113,4,151306,1,0.008849557522
0,1797867,3661,1329.5,1,150000,2,11,-1,86,5,60036,1,0.01162790698
1,2561385,2092,1242.5,3,56000,2,8,-1,85,5,330007,1,0.03529411765
0,1489532353,2092,1386.5,3,296000,2,9,5,109,5,151300,223.6067977,0.02752293578
0,1486729077,3661,1352,3,71000,2,11,5,104,5,60093,1,0.02884615385
0,1484555388,2615,1221.5,3,97000,2,15,9,109,4,72001,263.3097036,0.02752293578
0,1488342185,3661,1314.5,1,127000,2,11,-1,109,3,340012,500,0.009174311927
0,1491368061,2092,1305.5,1,123000,2,8,5,106,3,330008,1,0.009433962264
0,1484971650,2615,1269.5,3,124000,2,15,5,112,4,60033,204.9390153,0.02678571429
0,1490036542,2092,1304,3,129000,2,8,5,111,4,60001,223.6067977,0.02702702703
0,1490902456,2092,1262,1,360000,2,8,-1,113,4,151300,200,0.008849557522
1,1491565804,2092,1239.5,3,90000,2,8,5,100,3,60019,173.2050808,0.03
0,1491049001,2092,1256,3,120000,2,8,5,105,5,72015,1,0.02857142857
0,1485196476,2615,1311.5,3,115000,2,15,9,88,5,60014,200,0.03409090909
0,1492376068,2092,1212.5,3,73000,2,8,5,85,3,72001,1,0.03529411765
0,1489282299,3661,1320.5,1,123000,2,11,5,113,4,60091,1,0.008849557522
1,3064832,2092,1389.5,1,186000,2,8,9,110,3,60014,1,0.009090909091
0,1491637778,2092,1259,3,75000,2,8,5,89,5,151000,1,0.03370786517
1,1485798238,2615,,2,126000,2,15,9,83,5,450058,176.0681686,0.02409638554
0,1485432803,2615,1250,1,167000,2,15,-1,90,5,450080,141.4213562,0.01111111111
1,1959994,3661,1214,3,59000,2,11,5,84,3,72001,223.6067977,0.03571428571
0,1491759095,2092,,2,68000,2,8,9,114,4,151300,184.0190208,0.01754385965
1,1488853794,3661,1256,3,96000,2,11,5,102,3,72000,200,0.02941176471
0,1487973782,3661,1320.5,1,145000,2,11,5,100,5,330012,1,0.01
1,1290710,3661,1308.5,3,500000,2,11,9,85,5,60001,387.2983346,0.03529411765
1,1489501931,3661,1272.5,1,50000,1,11,-1,107,3,60085,1,0.009345794393
0,1490585993,2092,1293.5,3,35000,2,8,5,105,5,350071,200,0.02857142857
1,1491586951,2092,1295,1,35000,2,8,5,90,3,151300,1,0.01111111111
0,1484008534,523,1410.5,1,300000,2,4,-1,64,5,340009,1,0.015625
0,1484770568,2615,1316,3,147000,2,15,9,105,5,361029,173.2050808,0.02857142857
0,859979,2615,1301,1,114000,2,15,5,106,3,351106,187.0828693,0.009433962264
0,1484340579,2615,1116.5,3,214000,2,15,9,112,4,60019,200,0.02678571429
0,1486282393,3661,1361,3,77000,1,11,5,103,5,72000,200,0.02912621359
0,1636482,3661,1304,1,111000,2,11,9,113,4,151300,1,0.008849557522
0,1487292626,3661,,2,128000,2,11,9,111,4,151300,206.5187643,0.01801801802
0,1488874941,3661,,2,73000,2,11,9,109,3,151300,189.8051633,0.01834862385
0,690432,2615,1241,3,51000,2,15,5,88,5,151300,1,0.03409090909
0,1490171957,2092,1214,3,51000,2,8,5,104,5,151300,173.2050808,0.02884615385
0,1489349821,3661,1214,3,74000,2,11,5,110,4,60058,204.9390153,0.02727272727
0,1489757550,2092,1305.5,3,91000,2,8,2,95,5,60091,1,0.03157894737
0,1373443,3661,1238,3,66000,2,11,5,79,3,450017,214.4761059,0.03797468354
0,1487745988,3661,,2,78000,2,11,9,84,3,60031,175.6331404,0.02380952381
0,1492824607,3138,1241,1,74000,2,6,-1,105,3,60027,200,0.009523809524
0,1488467583,3661,1281.5,3,99000,2,11,9,114,5,60052,1,0.02631578947
0,1484907096,2615,1299.5,3,273000,2,15,2,108,5,72000,200,0.02777777778
0,1484748679,2615,1263.5,3,126000,2,15,5,113,4,72000,1,0.02654867257
0,1258433,3661,1224.5,3,312000,2,11,9,99,5,60084,1,0.0303030303
0,659639,2615,1244,3,57000,2,15,5,95,5,151300,173.2050808,0.03157894737
0,1484379534,2615,1272.5,3,49000,2,15,-1,86,5,330004,200,0.03488372093
0,1489368371,3661,1272.5,1,66000,2,11,5,105,5,60014,194.0850329,0.009523809524
0,2329881,3661,1253,1,50000,2,11,5,112,4,72049,184.3637708,0.008928571429
0,1490625319,2092,1313,1,135000,2,8,5,75,5,60064,1,0.01333333333
1,1488088421,3661,1299.5,1,135000,2,11,5,87,3,350705,187.0828693,0.01149425287
0,1486753192,3661,1281.5,1,80000,2,12,-1,111,5,60019,235.1148655,0.009009009009
0,3627639,2092,1214,3,68000,2,8,9,110,5,60091,1,0.02727272727
0,1492623896,2092,,2,108000,2,8,-1,108,3,340000,184.7241186,0.01851851852
1,1486743546,3661,1200.5,3,110000,2,11,5,113,4,60034,249.6998198,0.02654867257
0,3021425,2092,,2,35000,2,8,5,101,3,60029,237.301496,0.0198019802
0,1492154581,2092,1299.5,1,157000,2,8,5,113,3,151300,158.113883,0.008849557522
0,1490986302,2092,1304,3,35000,2,8,9,90,5,60047,1,0.03333333333
0,1491560239,2092,1241,3,30000,2,8,9,114,3,151300,1,0.02631578947
0,1484687835,2615,1305.5,3,91000,2,15,5,100,5,450003,173.4358671,0.03
0,2962807,2092,1305.5,1,90000,2,8,5,93,5,60085,200,0.01075268817
0,1488472777,3661,1227.5,3,67000,2,11,5,85,5,151009,1,0.03529411765
0,536467,2615,1298,1,127000,2,15,-1,113,4,151300,1,0.008849557522
1,1489044488,3661,1218.5,1,101000,2,11,3,101,3,350100,273.8612788,0.009900990099
0,1485420931,2615,,2,72000,2,15,5,114,5,350050,168.6979549,0.01754385965
0,1492348614,2092,,2,99000,2,8,5,90,3,60036,188.0664776,0.02222222222
0,1491934949,2092,,2,39000,2,8,5,90,3,60001,153.2677396,0.02222222222
0,1492348985,2092,1223,3,56000,2,8,9,110,3,151009,1,0.02727272727
0,1486924594,3661,1335.5,3,546000,2,11,3,80,5,330008,1,0.0375
0,1484280106,2615,1415,3,169000,2,15,5,81,5,72000,237.1708245,0.03703703704
0,1488961384,3661,1290.5,1,161000,2,11,5,109,3,151300,1,0.009174311927
0,1490117420,2092,1323.5,1,103000,2,8,-1,85,5,350069,204.0171561,0.01176470588
1,1485650580,2615,1241,3,61000,2,15,2,109,4,552104,187.0828693,0.02752293578
0,1485596785,2615,1322,3,71000,2,15,5,114,4,510034,216.374675,0.02631578947
0,1489769422,2092,1277,3,135000,2,8,5,84,5,60091,1,0.03571428571
0,754986,2615,1275.5,3,112000,2,15,5,85,5,340022,158.113883,0.03529411765
0,1491352108,2092,1256,3,141000,2,8,5,84,3,60031,223.6067977,0.03571428571
0,1487359035,3661,1302.5,1,92000,2,11,-1,105,4,591003,167.3320053,0.009523809524
0,1486069439,2615,1311.5,1,215000,2,15,5,110,3,350020,219.089023,0.009090909091
0,3440284,2092,,2,92000,2,8,-1,107,4,350052,158.113883,0.01869158879
0,1486441181,3661,1277,3,50000,2,11,5,103,5,151301,198.0050504,0.02912621359
0,2645602,2092,1313,3,328000,2,8,5,90,5,151300,1,0.03333333333
0,1492212457,2092,1262,3,155000,2,8,5,110,4,72001,248.3022352,0.02727272727
0,1491251196,2092,1179.5,3,56000,2,8,5,99,3,72000,234.520788,0.0303030303
0,1487699613,3661,1263.5,3,148000,2,11,5,90,5,60017,1,0.03333333333
1,1490245044,2092,1274,3,388000,2,8,9,111,5,72000,1,0.02702702703
0,1487169825,3661,1310,3,128000,2,11,9,105,5,60052,223.6067977,0.02857142857
0,1703262,3661,1266.5,1,109000,2,11,3,107,3,330021,1,0.009345794393
0,1485114114,2615,1251.5,3,124000,2,15,9,112,4,60091,200,0.02678571429
0,1490403090,2092,1220,3,140000,2,8,5,109,4,72010,1,0.02752293578
0,1213542,3661,1332.5,3,98000,2,11,5,107,5,60033,262.1278314,0.02803738318
0,187727,2615,1322,3,154000,2,15,5,110,5,72000,204.9390153,0.02727272727
0,1491406645,2092,1266.5,3,87000,2,8,-1,98,5,361029,1,0.0306122449
0,1487300417,3661,1296.5,3,138000,1,11,5,100,5,60027,158.113883,0.03
0,1488989951,3661,1266.5,3,74000,2,11,5,105,4,60054,1,0.02857142857
0,1488777739,3661,1374.5,1,400000,2,12,-1,104,5,60000,492.6601263,0.009615384615
0,1259546,3661,1317.5,3,264000,2,11,5,83,5,72000,1,0.03614457831
1,3248106,2092,1269.5,1,210000,2,8,-1,84,3,330012,1,0.0119047619
0,1487487401,3661,1287.5,1,119000,2,11,5,85,5,60031,187.0828693,0.01176470588
0,2512413,2092,1373,3,369000,2,8,7,108,5,330005,350.5923559,0.02777777778
1,1492603491,2092,1302.5,1,239000,1,8,5,100,3,60043,380.7886553,0.01
0,1488338846,3661,1239.5,3,99000,2,11,5,110,4,60027,1,0.02727272727
0,1488912412,3661,1254.5,3,97000,2,11,5,83,3,60017,282.8427125,0.03614457831
0,1491518687,2092,1223,3,100000,2,8,9,114,4,60000,1,0.02631578947
0,1484979070,2615,1250,3,78000,2,15,5,82,5,350092,176.4256217,0.03658536585
0,371001,2615,1224.5,3,56000,2,15,5,113,4,151307,1,0.02654867257
1,1486742804,3661,1334,3,86000,2,11,5,113,5,510065,168.5140944,0.02654867257
1,660752,2615,1230.5,3,35000,2,15,5,112,5,60057,1,0.02678571429
0,1490982963,2092,1292,1,117000,2,8,5,99,5,60052,200,0.0101010101
0,1607915,3661,1341.5,3,112000,2,11,8,83,5,60090,1,0.03614457831
0,1487964878,3661,1235,3,89000,2,11,5,115,5,60065,1,0.02608695652
0,1491949047,2092,1227.5,3,62000,2,8,5,110,5,60069,1,0.02727272727
0,1486679734,3661,1272.5,3,119000,2,11,5,82,5,60068,202.4845673,0.03658536585
0,1490381943,2092,1283,3,94000,2,8,9,64,5,60017,1,0.046875
0,689319,2615,1311.5,3,134000,2,15,5,113,5,60015,1,0.02654867257
0,1485920668,2615,1304,1,146000,2,15,5,90,3,350008,1,0.01111111111
